# 领域词 词频 词性
AI 100000 nz
AIGC 100000 nz
AGI 100000 nz
AI Agent 100000 nz
Agent 100000 nz
智能体 100000 n
大模型 100000 n
多模态 100000 n
OpenAI 100000 nz
ChatGPT 100000 nz
GPT-4 100000 nz
GPT-5 100000 nz
GPT 100000 nz
Claude 100000 nz
Claude Code 100000 nz
Codex 100000 nz
DeepSeek 100000 nz
OpenClaw 100000 nz
Gemini 100000 nz
Gemma 100000 nz
Qwen 100000 nz
通义千问 100000 nz
豆包 100000 nz
Kimi 100000 nz
Grok 100000 nz
Copilot 100000 nz
GitHub Copilot 100000 nz
Cursor 100000 nz
MCP 100000 nz
LLM 100000 nz
token 100000 nz
Prompt 100000 nz
提示词 100000 n
Vibe Coding 100000 nz
独立开发 100000 n
远程工作 100000 n
开源 100000 n
GitHub 100000 nz
GitLab 100000 nz
Docker 100000 nz
Kubernetes 100000 nz
K8s 100000 nz
Cloudflare 100000 nz
Vercel 100000 nz
Linux 100000 nz
Windows 100000 nz
macOS 100000 nz
Apple 100000 nz
Apple TV 100000 nz
Mac 100000 nz
Mac mini 100000 nz
MacBook 100000 nz
MacBook Pro 100000 nz
iPhone 100000 nz
iOS 100000 nz
iPad 100000 nz
iPad mini 100000 nz
AirPods 100000 nz
DJI Mini 100000 nz
MiniMax 100000 nz
Vision Pro 100000 nz
Android 100000 nz
鸿蒙 100000 nz
HarmonyOS 100000 nz
Python 100000 nz
Java 100000 nz
JavaScript 100000 nz
TypeScript 100000 nz
Node.js 100000 nz
Golang 100000 nz
Rust 100000 nz
C++ 100000 nz
C# 100000 nz
.NET 100000 nz
Vue 100000 nz
React 100000 nz
Next.js 100000 nz
MySQL 100000 nz
PostgreSQL 100000 nz
SQLite 100000 nz
Redis 100000 nz
NAS 100000 nz
VPS 100000 nz
软路由 100000 n
路由器 100000 n
输入法 100000 n
新能源汽车 100000 n
电动汽车 100000 n
自动驾驶 100000 n
比特币 100000 n
加密货币 100000 n
A股 100000 nz
美股 100000 nz
港股 100000 nz
ETF 100000 nz
年终奖 100000 n
裁员 100000 n
求职 100000 n
面试 100000 n
副业 100000 n
创业 100000 n
买房 100000 n
租房 100000 n
房贷 100000 n
相亲 100000 n
结婚 100000 n
离婚 100000 n
邀请码 100000 n
拼车 100000 n
订阅 100000 n
双十一 100000 n
88vip 100000 nz
